id_producto,producto,categoria,ventas_totales,unidades_vendidas,transacciones,margen_estimado,precio_promedio,margen_pct
P062,Protector auditivo tipo copa,Seguridad industrial,571.1,18,4,175.1,31.695,0.3066
P046,Trampa lavatorio PVC,Gasfitería,524.79,42,11,167.79,12.546363636363635,0.3197
P066,Regadera plástica 10 L,Jardinería,497.96000000000004,18,6,164.95999999999998,27.505,0.3313
P053,Arandela plana 1/4 ciento,Tornillería y fijaciones,387.75,56,13,158.15,6.891538461538461,0.4079
P067,Tijera de podar,Jardinería,478.86,15,5,148.85999999999999,31.792,0.3109
P055,Remache pop 1/8 ciento,Tornillería y fijaciones,374.27,24,6,146.26999999999998,15.495,0.3908
P032,Thinner acrílico 1 L,Pinturas,457.56,35,17,146.06,13.035294117647059,0.3192
P015,Compresora de aire 24 L,Herramientas eléctricas,544.53,1,1,114.53,544.53,0.2103
P071,Maceta plastica mediana,Jardinería,291.21,28,11,109.21000000000001,10.387272727272729,0.375
P042,Codo PVC 1/2 pulgada,Gasfitería,254.85,162,41,100.95,1.5753658536585367,0.3961
P060,Mascarilla KN95 unidad,Seguridad industrial,251.65,98,22,94.85,2.5645454545454545,0.3769
P064,Arnés de seguridad cuerpo completo,Seguridad industrial,404.16,2,1,94.16,202.08,0.233
P039,Canaleta PVC 20x10 mm,Electricidad,294.56,64,15,89.76,4.588666666666667,0.3047
P021,Ladrillo pandereta unidad,Materiales de construcción,379.78,387,63,62.44,0.98,0.1644
P069,Rastrillo metálico,Jardinería,205.78,6,3,61.78,34.29666666666667,0.3002
P072,Aspersor plástico regulable,Jardinería,187.69,11,3,55.69,17.09,0.2967
P031,Lija al agua grano 220,Pinturas,99.83,98,41,45.93,1.0192682926829268,0.4601
P068,Pala jardinera,Jardinería,137.83,5,4,42.83,27.4325,0.3107
P056,Anclaje expansivo 3/8 unidad,Tornillería y fijaciones,96.66,34,7,35.46,2.832857142857143,0.3669
P047,Válvula check 1/2 pulgada,Gasfitería,106.16,4,1,34.16,26.54,0.3218
